system:index,region,vegClimZoneLab,index,pop,ref,skog,ssbid
13019,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13019
13020,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13020
13021,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13021
13022,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13022
13023,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13023
13024,Østlandet,Nordboreal sone (NB),0.9997,0.251007080078125,0.1333722601996528,6.176461364746097,13024
13025,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13025
13026,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13026
13027,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13027
13028,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13028
13029,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13029
13030,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13030
13031,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13031
13032,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13032
13033,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13033
13034,Østlandet,Nordboreal sone (NB),0.9753000000000001,0.856842041015625,0.1333722601996528,6.176461364746097,13034
13035,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13035
13036,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13036
13037,Østlandet,Nordboreal sone (NB),0.5563,2.688201904296875,0.1333722601996528,6.176461364746097,13037
13038,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13038
13039,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13039
13040,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13040
13041,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13041
13042,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13042
13043,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13043
13044,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13044
13045,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13045
13046,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13046
13047,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13047
13048,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13048
13049,Østlandet,Nordboreal sone (NB),0.9996,0.27020263671875,0.1333722601996528,6.176461364746097,13049
13050,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13050
13051,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13051
13052,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13052
13053,Østlandet,Nordboreal sone (NB),0.9975,0.420562744140625,0.1333722601996528,6.176461364746097,13053
13054,Østlandet,Nordboreal sone (NB),0.996,0.4825439453125,0.1333722601996528,6.176461364746097,13054
13055,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13055
13056,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13056
13057,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13057
13058,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13058
13059,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13059
13060,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13060
13061,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13061
13062,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13062
13063,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13063
13064,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13064
13065,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13065
13066,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13066
13067,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13067
13068,Østlandet,Nordboreal sone (NB),0.9999,0.22210693359375,0.1333722601996528,6.176461364746097,13068
13069,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13069
13070,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13070
13071,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13071
13072,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13072
13073,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13073
13074,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13074
13075,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13075
13076,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13076
13077,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13077
13078,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13078
13079,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13079
13080,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13080
13081,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13081
13082,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13082
13083,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13083
13084,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13084
13085,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13085
13086,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13086
13087,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13087
13088,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13088
13089,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13089
13090,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13090
13091,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13091
13092,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13092
13093,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13093
